  Time  Potential_Energy  Kinetic_Energy  Total_Energy  Temperature  Moment of Cen
  0.22900002      -5.1942964      0.72901601      -4.4652805      0.48720181      2.69150604E-07
  0.23000000      -5.1918850      0.74823779      -4.4436474      0.48601067      3.85419042E-07
  0.23100001      -5.1894827      0.74650919      -4.4429736      0.49882519      4.89985439E-07
  0.23200001      -5.1871223      0.74480933      -4.4423132      0.49767280      8.11532061E-07
  0.23300001      -5.1848078      0.74313551      -4.4416723      0.49653956      9.91466209E-07
  0.23400001      -5.1825323      0.74148220      -4.4410501      0.49542367      5.07569951E-07
  0.23500001      -5.1802921      0.73984796      -4.4404440      0.49432147      6.58955287E-07
  0.23600002      -5.1780887      0.73823172      -4.4398570      0.49323198      1.83260056E-07
  0.23700002      -5.1759224      0.73663592      -4.4392862      0.49215448      3.87501814E-07
  0.23800001      -5.1738076      0.73506320      -4.4387445      0.49109063      3.28185166E-07
  0.23900001      -5.1717501      0.73351920      -4.4382310      0.49004212      2.76475788E-07
  0.24000001      -5.1697655      0.74847299      -4.4212923      0.48901281      7.15604926E-08
  0.24100001      -5.1678386      0.74698651      -4.4208522      0.49898198      1.76980691E-07
  0.24200001      -5.1660109      0.74554890      -4.4204621      0.49799100      3.28591938E-07
  0.24300002      -5.1643033      0.74417317      -4.4201303      0.49703261      2.84296050E-07
  0.24400002      -5.1627421      0.74287474      -4.4198675      0.49611545      2.61574002E-07
  0.24500000      -5.1613560      0.74166983      -4.4196863      0.49524984      2.25526250E-07
  0.24600001      -5.1601963      0.74058169      -4.4196148      0.49444655      3.07556490E-07
  0.24700001      -5.1592765      0.73962384      -4.4196525      0.49372113      3.87327191E-07
  0.24800001      -5.1586332      0.73881489      -4.4198184      0.49308255      3.41636735E-07
  0.24900001      -5.1583028      0.73817664      -4.4201260      0.49254325      7.37607479E-07
  0.25000000      -5.1583180      0.74954236      -4.4087758      0.49211776      1.02647800E-06
  0.25100002      -5.1586900      0.74928498      -4.4094048      0.49969494      1.82769540E-07
  0.25200000      -5.1594534      0.74924493      -4.4102087      0.49952328      1.46549453E-07
  0.25300002      -5.1606374      0.74943835      -4.4111991      0.49949661      2.40607676E-07
  0.25400001      -5.1622677      0.74988008      -4.4123878      0.49962556      1.92226503E-06
  0.25500003      -5.1644320      0.75060934      -4.4138227      0.49992004      2.76325551E-07
  0.25600001      -5.1671047      0.75161028      -4.4154944      0.50040621      6.97346081E-07
  0.25700000      -5.1702771      0.75289071      -4.4173865      0.50107342      3.40529368E-07
  0.25800002      -5.1739635      0.75445837      -4.4195051      0.50192714      3.81550336E-07
  0.25900000      -5.1781640      0.75631303      -4.4218512      0.50297225      1.22880820E-07
  0.26000002      -5.1828766      0.75213361      -4.4307432      0.50420868      4.11073444E-07
  0.26100001      -5.1880856      0.75455469      -4.4335308      0.50142241      6.46252147E-07
  0.26200002      -5.1937938      0.75725406      -4.4365396      0.50303644      2.11965926E-07
  0.26300001      -5.1999793      0.76022321      -4.4397559      0.50483602      2.78801650E-07
  0.26400000      -5.2066250      0.76344919      -4.4431758      0.50681549      5.55355712E-07
  0.26500002      -5.2137136      0.76691908      -4.4467945      0.50896615      1.88193994E-07
  0.26600000      -5.2212057      0.77061534      -4.4505901      0.51127940      2.72584941E-07
  0.26700002      -5.2290740      0.77451593      -4.4545579      0.51374358      2.27951546E-07
  0.26800001      -5.2372603      0.77859581      -4.4586644      0.51634395      4.94251594E-07
  0.26900002      -5.2457223      0.78283077      -4.4628916      0.51906389      1.89736255E-07
  0.27000001      -5.2544098      0.75427586      -4.5001340      0.52188718      4.73098112E-07
  0.27100003      -5.2631292      0.75866592      -4.5044632      0.50285059      2.54474401E-07
  0.27200001      -5.2720242      0.76314998      -4.5088739      0.50577730      4.80638221E-07
  0.27300000      -5.2810240      0.76769316      -4.5133309      0.50876665      1.02176909E-06
  0.27400002      -5.2900763      0.77226579      -4.5178103      0.51179546      3.52783218E-07
  0.27500001      -5.2991281      0.77683932      -4.5222888      0.51484388      1.91997074E-07
  0.27600002      -5.3081279      0.78138763      -4.5267401      0.51789290      2.36673230E-07
  0.27700001      -5.3170376      0.78588396      -4.5311537      0.52092510      3.10721362E-07
  0.27800003      -5.3258061      0.79030842      -4.5354977      0.52392262      3.37442202E-07
  0.27900001      -5.3344073      0.79462337      -4.5397840      0.52687228      3.36927741E-07
  0.28000000      -5.3427558      0.75406462      -4.5886912      0.52974892      1.85714228E-07
  0.28100002      -5.3506489      0.75802821      -4.5926208      0.50270975      1.30878232E-06
  0.28200001      -5.3583441      0.76183468      -4.5965095      0.50535220      3.27783198E-07
  0.28300002      -5.3657179      0.76546574      -4.6002522      0.50788981      3.28718613E-07
  0.28400001      -5.3727493      0.76890302      -4.6038465      0.51031047      1.89596776E-07
  0.28500003      -5.3793859      0.77212363      -4.6072621      0.51260203      3.37853237E-07
  0.28600001      -5.3855934      0.77511072      -4.6104827      0.51474911      5.35847278E-07
  0.28700000      -5.3913498      0.77785391      -4.6134958      0.51674050      5.49802451E-07
  0.28800002      -5.3966346      0.78033412      -4.6163006      0.51856929      2.63418201E-07
  0.28900000      -5.4014187      0.78254074      -4.6188779      0.52022272      5.43241356E-07
  0.29000002      -5.4056931      0.75188643      -4.6538067      0.52169383      2.58666347E-07
  0.29100001      -5.4093819      0.75350118      -4.6558809      0.50125760      4.26134790E-07
  0.29200003      -5.4125614      0.75483763      -4.6577239      0.50233412      8.68879511E-08
  0.29300001      -5.4152298      0.75589502      -4.6593347      0.50322509      2.83734124E-07
  0.29400000      -5.4173884      0.75665951      -4.6607289      0.50393003      1.97159025E-07
  0.29500002      -5.4190145      0.75712949      -4.6618848      0.50443965      8.05834645E-07
  0.29600000      -5.4200902      0.75729978      -4.6627903      0.50475299      3.68257702E-07
  0.29700002      -5.4206181      0.75717044      -4.6634474      0.50486654      2.90022882E-07
  0.29800001      -5.4205995      0.75674349      -4.6638560      0.50478029      5.24776908E-07
  0.29900002      -5.4200530      0.75602084      -4.6640320      0.50449568      1.60187483E-07
  0.30000001      -5.4189725      0.74898553      -4.6699867      0.50401390      1.75682104E-07
  0.30100003      -5.4173727      0.74768305      -4.6696897      0.49932370      1.59318787E-07
  0.30200002      -5.4152608      0.74610096      -4.6691599      0.49845538      4.82522182E-07
  0.30300000      -5.4126644      0.74424595      -4.6684184      0.49740064      5.81586903E-07
  0.30400002      -5.4095912      0.74212408      -4.6674671      0.49616396      1.09310456E-07
  0.30500001      -5.4060822      0.73975575      -4.6663265      0.49474940      6.60123121E-08
  0.30600002      -5.4021640      0.73714757      -4.6650162      0.49317050      5.14858812E-07
  0.30700001      -5.3978400      0.73431933      -4.6635208      0.49143171      2.78426512E-07
  0.30800003      -5.3931670      0.73127472      -4.6618924      0.48954621      6.05746379E-07
  0.30900002      -5.3881392      0.72802997      -4.6601095      0.48751649      3.67314385E-07
  0.31000000      -5.3827958      0.74652511      -4.6362705      0.48535332      2.13514710E-07
  0.31100002      -5.3770757      0.74287480      -4.6342010      0.49768341      4.00481696E-07
  0.31200001      -5.3710866      0.73907125      -4.6320152      0.49524987      7.77863463E-08
  0.31300002      -5.3648834      0.73514336      -4.6297402      0.49271417      2.43970959E-07
  0.31400001      -5.3585138      0.73111522      -4.6273985      0.49009559      3.99631801E-07
  0.31500003      -5.3520241      0.72701728      -4.6250067      0.48741016      3.40553470E-07
  0.31600001      -5.3454766      0.72287911      -4.6225977      0.48467818      4.06312893E-07
  0.31700000      -5.3389249      0.71872944      -4.6201954      0.48191941      5.53653820E-07
  0.31800002      -5.3324146      0.71460152      -4.6178131      0.47915295      5.96651489E-07
